precinct_id,registered_voters,contest_name,total_votes_cast,Kamala D. Harris - Election Day,Kamala D. Harris - Absentee,Kamala D. Harris - Provisional,Donald J. Trump - Election Day,Donald J. Trump - Absentee,Donald J. Trump - Provisional,Jill Stein - Election Day,Jill Stein - Absentee,Jill Stein - Provisional,Chase Oliver - Election Day,Chase Oliver - Absentee,Chase Oliver - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Marshall Dist 1,971,Presidential Electors,780,189,197,1,252,103,5,18,3,1,3,2,0,3,1,0
Marshall Dist 2,1306,Presidential Electors,1089,252,232,5,386,182,2,10,2,1,6,2,0,5,1,0
Marshall Dist 3,837,Presidential Electors,675,149,183,1,208,113,1,2,0,2,5,2,0,4,0,1
Marshall Dist 4,1211,Presidential Electors,1035,256,266,4,341,143,6,4,3,0,3,4,0,1,3,0
Marshall Dist 5,983,Presidential Electors,814,210,195,5,252,109,6,12,12,0,3,3,0,1,1,0
Marshall Dist 6,990,Presidential Electors,813,206,204,7,265,113,3,1,0,0,2,3,1,3,2,0
Marshall Dist 7,1321,Presidential Electors,1014,217,237,4,357,180,0,5,4,0,3,2,0,3,0,0
McCandless Ward 1 Dist 1,1165,Presidential Electors,967,235,244,2,321,146,1,3,3,0,4,0,0,3,2,0
McCandless Ward 1 Dist 2,775,Presidential Electors,602,178,173,2,180,55,5,2,2,0,1,0,0,0,1,0
McCandless Ward 1 Dist 3,1316,Presidential Electors,1012,249,259,9,327,142,5,4,3,0,5,1,0,2,1,0
McCandless Ward 2 Dist 1,1404,Presidential Electors,1192,331,336,6,323,168,4,1,1,0,3,1,0,5,3,1
McCandless Ward 2 Dist 2,877,Presidential Electors,769,189,173,2,287,101,4,1,0,0,1,2,0,3,4,0
McCandless Ward 2 Dist 3,901,Presidential Electors,747,195,168,1,281,91,2,4,0,0,3,1,0,1,0,0
McCandless Ward 3 Dist 1,951,Presidential Electors,814,250,209,0,273,72,2,0,0,0,2,1,0,2,0,0
McCandless Ward 3 Dist 2,1067,Presidential Electors,909,254,203,7,337,95,3,2,0,0,7,0,0,0,0,0
McCandless Ward 3 Dist 3,1110,Presidential Electors,960,249,227,3,339,119,5,0,1,0,3,6,0,5,1,0
McCandless Ward 4 Dist 1,1483,Presidential Electors,1274,355,313,5,421,153,4,2,0,0,5,1,1,9,2,0
McCandless Ward 4 Dist 2,977,Presidential Electors,811,237,174,8,311,62,1,2,0,0,5,2,0,3,3,0
McCandless Ward 4 Dist 3,776,Presidential Electors,681,188,168,1,236,65,5,0,4,0,3,0,0,5,3,0
McCandless Ward 5 Dist 1,896,Presidential Electors,772,224,133,3,298,99,0,4,1,0,3,1,0,3,1,0
McCandless Ward 5 Dist 2,1484,Presidential Electors,1185,367,271,6,396,123,4,4,3,0,2,1,0,5,1,0
McCandless Ward 5 Dist 3,1086,Presidential Electors,916,258,290,5,241,106,3,3,0,0,4,0,0,1,1,0
McCandless Ward 6 Dist 1,475,Presidential Electors,406,83,116,1,149,50,1,2,2,0,1,0,0,1,0,0
McCandless Ward 6 Dist 2,1044,Presidential Electors,895,226,227,2,311,106,2,2,1,0,9,4,0,2,1,0
McCandless Ward 6 Dist 3,1885,Presidential Electors,1615,396,495,4,455,228,5,0,4,0,9,4,1,5,1,0
